#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
102,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How deep is Alcatrazes?,50m,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quão profundo é Alcatrazes?,50m
103,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How much is Alcatrazes' total ocean coverage?,67000 hectares,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quanto custa total do oceano de Alcatrazes?,67000 hectares.
104,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",What is the highest peak in Alcatrazes?,Pico da Boa Vista (or the Alcatrazes),"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Qual é o pico mais alto em Alcatrazes?,Pico da Boa Vista (ou os Alcatrazes)
105,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How high is Pico da Boa Vista?,316m,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quão alto é o Pico da Boa Vista?,316m
106,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",What is the second largest peak in Alcatrazes?,Oratório,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Qual é o segundo maior pico em Alcatrazes?,ORATÓRIO.
107,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How high is Pico Oratório?,154m,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quão alto é o Pico Oratório?,154m
108,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How high are the rocky walls of Alcatrazes?,200m,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quão altas são as paredes rochosas de Alcatrazes?,200m.
109,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",What is the safest region on the main Alcatrazes Istand?,Between the south and east arms,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Qual é a região mais segura dos principais Alcatrazes Istand?,Entre os braços sul e leste
110,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How is the safest region of Alcatrazes known?,Funnel Bag,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Como é a região mais segura de Alcatrazes conhecidas?,Saco de funil
111,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",Where did the Brazilian Navy practice shooting at Alcatrazes?,"Saco do Funil, between the south and east arm of the island","Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",De onde a Marinha Brasileira se atirava em Alcatrazes?,"Saco do Funil, entre o braço sul e leste da ilha"
112,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",How is the island of Farol known?,Porto island,"Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Como a ilha de Farol é conhecida?,Ilha Porto.
